from,to,variables.pm10_concentration.value,variables.pm25_concentration.value,variables.no2_concentration.value
2025-05-09 00:00:00+00:00,2025-05-09T00:00:00Z,49.880902290344238,3.3983311653137207,7.556334495544434
2025-05-09 01:00:00+00:00,2025-05-09T01:00:00Z,43.685810089111328,3.4433469772338867,8.214629173278809
2025-05-09 02:00:00+00:00,2025-05-09T02:00:00Z,20.098926544189453,3.706989288330078,9.575285911560059
2025-05-09 03:00:00+00:00,2025-05-09T03:00:00Z,10.00905990600586,4.2287797927856445,10.425033569335938
2025-05-09 04:00:00+00:00,2025-05-09T04:00:00Z,7.198945045471191,5.052576065063477,16.18229866027832
2025-05-09 05:00:00+00:00,2025-05-09T05:00:00Z,6.834965705871582,5.388369083404541,32.91990661621094
2025-05-09 06:00:00+00:00,2025-05-09T06:00:00Z,4.941534042358398,4.048276424407959,37.970298767089844
2025-05-09 07:00:00+00:00,2025-05-09T07:00:00Z,3.041989326477051,2.520519256591797,28.072847366333008
2025-05-09 08:00:00+00:00,2025-05-09T08:00:00Z,3.030179500579834,2.4828882217407227,23.987398147583008
2025-05-09 09:00:00+00:00,2025-05-09T09:00:00Z,3.1529603004455566,2.519415855407715,23.149017333984375
2025-05-09 10:00:00+00:00,2025-05-09T10:00:00Z,3.930832624435425,2.6147572994232178,22.607620239257812
2025-05-09 11:00:00+00:00,2025-05-09T11:00:00Z,10.118051528930664,3.395318031311035,23.442779541015625
2025-05-09 12:00:00+00:00,2025-05-09T12:00:00Z,23.311506271362305,5.022355079650879,31.295108795166016
2025-05-09 13:00:00+00:00,2025-05-09T13:00:00Z,36.65275573730469,7.134990692138672,45.647361755371094
2025-05-09 14:00:00+00:00,2025-05-09T14:00:00Z,28.845500946044922,6.20551872253418,37.88855743408203
2025-05-09 15:00:00+00:00,2025-05-09T15:00:00Z,26.05537986755371,5.968860626220703,35.47208786010742
2025-05-09 16:00:00+00:00,2025-05-09T16:00:00Z,23.523040771484375,5.360111236572266,32.4560546875
2025-05-09 17:00:00+00:00,2025-05-09T17:00:00Z,16.716354370117188,4.297539234161377,24.459068298339844
2025-05-09 18:00:00+00:00,2025-05-09T18:00:00Z,12.934181213378906,3.8150970935821533,21.59269142150879
2025-05-09 19:00:00+00:00,2025-05-09T19:00:00Z,12.093576431274414,3.6683051586151123,21.92833709716797
2025-05-09 20:00:00+00:00,2025-05-09T20:00:00Z,9.949504852294922,3.051041603088379,15.034595489501953
2025-05-09 21:00:00+00:00,2025-05-09T21:00:00Z,4.350882053375244,2.4709439277648926,12.668827056884766
2025-05-09 22:00:00+00:00,2025-05-09T22:00:00Z,3.048168182373047,2.277611017227173,11.31441879272461
2025-05-09 23:00:00+00:00,2025-05-09T23:00:00Z,2.74043345451355,2.1584153175354004,8.659120559692383
2025-05-10 00:00:00+00:00,2025-05-10T00:00:00Z,2.723273277282715,2.1040570735931396,6.8009867668151855
2025-05-10 01:00:00+00:00,2025-05-10T01:00:00Z,2.995589256286621,2.257688045501709,7.363037109375
2025-05-10 02:00:00+00:00,2025-05-10T02:00:00Z,3.521554470062256,2.7646687030792236,8.55368423461914
2025-05-10 03:00:00+00:00,2025-05-10T03:00:00Z,3.802715301513672,3.0310494899749756,8.14815902709961
2025-05-10 04:00:00+00:00,2025-05-10T04:00:00Z,4.278905391693115,3.4795308113098145,9.467726707458496
2025-05-10 05:00:00+00:00,2025-05-10T05:00:00Z,4.669919013977051,3.7905519008636475,9.052583694458008
2025-05-10 06:00:00+00:00,2025-05-10T06:00:00Z,5.796762943267822,4.462796211242676,9.654083251953125
2025-05-10 07:00:00+00:00,2025-05-10T07:00:00Z,6.289146900177002,4.053287982940674,9.739763259887695
2025-05-10 08:00:00+00:00,2025-05-10T08:00:00Z,8.376651763916016,3.529365062713623,10.522241592407227
2025-05-10 09:00:00+00:00,2025-05-10T09:00:00Z,10.267203330993652,3.3836560249328613,11.073280334472656
2025-05-10 10:00:00+00:00,2025-05-10T10:00:00Z,11.010724067687988,3.6919174194335938,10.603864669799805
2025-05-10 11:00:00+00:00,2025-05-10T11:00:00Z,10.938785552978516,3.863595485687256,9.690975189208984
2025-05-10 12:00:00+00:00,2025-05-10T12:00:00Z,10.693639755249023,3.9438464641571045,8.679891586303711
